"date","description","vendor","amount","currency","primary_tag","work_scope_level","hak_edis_policy","is_hak_edis_eligible","hak_edis_amount","CRM_STATUS","CRM_REVIEW_REQUIRED","HAK_EDIS_AUTO_INFER"
"","Gökhan elden | 8.01.2025 | 23.896,00 € | Sac işçiliği | 8.01.2025 | 9.536,00 €","","8012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 8.01.2025 | 8.174,00 €","","8012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar işçilik | 8.01.2025 | 3.000,00 €","","8012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 8.01.2025 | 3.188,00 €","","8012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 15.01.2025 | 53.424,00 € | Sac işçiliği | 16.01.2025 | 11.267,00 €","","15012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak malzemeleri | 16.01.2025 | 3.856,00 €","","16012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 16.01.2025 | 5.633,00 €","","16012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama işçilik | 16.01.2025 | 3.000,00 €","","16012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Çadır tamir vinç operasyon | 16.01.2025 | 1.972,00 €","","16012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Ekstra sac  | 16.01.2025 | 2.547,00 €","","16012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik forklift vs | 16.01.2025 | 2.273,00 €","","16012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kara parkı | 16.01.2025 | 27.397,00 €","","16012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 22.01.2025 | 52.702,00 € | Kara parkı | 22.01.2025 | 25.675,00 €","","22012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Sac işçiliği | 22.01.2025 | 12.162,00 €","","22012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 22.01.2025 | 6.756,00 €","","22012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat malzeme | 22.01.2025 | 1.756,00 €","","22012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar işçilik | 22.01.2025 | 3.000,00 €","","22012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Perde laması büküm nakl | 22.01.2025 | 1.843,00 €","","22012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik vinç vs | 22.01.2025 | 1.972,00 €","","22012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 29.01.2025 | 23.590,00 € | Sac işçiliği | 29.01.2025 | 9.443,00 €","","29012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
